station_code,cust_id,first_dw_billdate,last_dw_billdate,zw_day,day_num,total_num,total_fee,bill_num,kz_total_num,kz_total_fee,kz_bill_num,th_total_num,th_total_fee,th_bill_num,cancel_total_num,cancel_total_fee,cancel_bill_num,avg_day,median_day,stddev_day
1003,124907,2018/3/24 0:00,2019/8/28 0:00,522,20,-2198,9542,22,-242,4102,11,0,0,0,0,0,0,27.47368421,18,38.05587087
1003,124908,2018/2/1 0:00,2019/3/21 0:00,413,15,-42,3232,17,-39,2342,14,0,0,0,0,0,0,29.5,21.5,26.856098
1003,124910,2018/3/1 0:00,2019/4/23 0:00,418,41,-161,9056.5,44,-144,7076.5,37,5,-560,3,0,0,0,10.45,5,20.08600259
1003,124911,2018/6/1 0:00,2018/7/20 0:00,49,5,-28,874,5,-24,144,1,0,0,0,0,0,0,12.25,8,12.49749975
1003,124913,2018/2/1 0:00,2018/3/24 0:00,51,2,-1265,1391,2,-15,141,1,0,0,0,0,0,0,51,51,0
1003,124914,2018/5/6 0:00,2019/2/22 0:00,292,2,-8,815,2,-7,505,1,0,0,0,0,0,0,292,292,0
1003,124915,2018/1/12 0:00,2019/8/2 0:00,567,15,-68,5043,15,-64,3943,11,0,0,0,0,0,0,40.5,22.5,42.18454355
1003,124916,2018/2/1 0:00,2019/6/10 0:00,494,12,-25,889,13,-22,489,11,1,-350,1,0,0,0,44.90909091,35,51.33571244
1003,124918,2018/2/1 0:00,2018/6/10 0:00,129,4,-656,780,4,-8,132,3,0,0,0,0,0,0,43,45,7.483314774
1003,124922,2018/5/4 0:00,2019/6/13 0:00,405,11,-75,2136.5,13,-72,1616.5,9,2,-490,2,0,0,0,40.5,23.5,34.58684721
1003,124929,2018/3/24 0:00,2018/3/24 0:00,0,1,-216,216,1,0,0,0,0,0,0,0,0,0,\N,\N,\N
1003,124930,2018/3/24 0:00,2019/8/22 0:00,516,8,-56,2432,8,-4,435,3,0,0,0,0,0,0,73.71428571,61,62.54076222
1003,124933,2018/3/25 0:00,2018/3/25 0:00,0,1,-10727,10727,1,0,0,0,0,0,0,0,0,0,\N,\N,\N
1003,124934,2018/9/16 0:00,2018/9/16 0:00,0,1,-1,30,1,-1,30,1,0,0,0,0,0,0,\N,\N,\N
1003,124936,2018/4/12 0:00,2019/8/18 0:00,493,15,-38,9820.56,18,0,0,0,1,-530,1,0,0,0,35.21428571,32.5,23.29677651
1003,124940,2018/4/6 0:00,2018/4/6 0:00,0,1,-1,170,1,0,0,0,0,0,0,0,0,0,\N,\N,\N
1003,124941,2018/3/24 0:00,2018/7/10 0:00,108,2,-2751,5050,2,0,0,0,0,0,0,0,0,0,108,108,0
1003,124943,2018/6/23 0:00,2018/12/6 0:00,166,6,-14,3495,7,-6,165,2,0,0,0,0,0,0,33.2,36,20.70169075
1003,124946,2018/9/11 0:00,2019/8/18 0:00,341,11,-40,5502,18,-25,937,14,5,-241,4,0,0,0,34.1,19,29.70336681
1003,124948,2018/3/24 0:00,2018/7/8 0:00,106,2,-2368,7020,2,0,0,0,0,0,0,0,0,0,106,106,0
1003,124950,2018/3/24 0:00,2019/8/19 0:00,513,15,-364,3805,16,-31,3135,12,0,0,0,0,0,0,36.64285714,6.5,68.58009618
1003,124951,2018/12/10 0:00,2019/5/2 0:00,143,2,-2,710,2,0,0,0,0,0,0,0,0,0,143,143,0
1003,124953,2018/3/24 0:00,2018/5/17 0:00,54,2,-921,1400,2,0,0,0,0,0,0,0,0,0,54,54,0
1003,124956,2019/3/15 0:00,2019/3/15 0:00,0,1,-1,680,1,0,0,0,0,0,0,0,0,0,\N,\N,\N
1003,124959,2018/11/24 0:00,2018/11/24 0:00,0,1,-1,380,1,0,0,0,0,0,0,0,0,0,\N,\N,\N
1003,124960,2018/11/7 0:00,2019/8/27 0:00,293,23,-53,2120.1,26,-53,2120.1,26,3,-375,2,0,0,0,13.31818182,9,12.38175477
1003,124961,2018/6/22 0:00,2018/6/22 0:00,0,1,-1,380,1,0,0,0,0,0,0,0,0,0,\N,\N,\N
1003,124963,2018/4/16 0:00,2019/2/25 0:00,315,6,-9,4460,6,0,0,0,0,0,0,0,0,0,63,49,44.815176
1003,124964,2018/11/11 0:00,2019/7/31 0:00,262,8,-55,58285,8,0,0,0,0,0,0,0,0,0,37.42857143,39,33.19577057
1003,124966,2018/3/1 0:00,2018/8/4 0:00,156,7,-244,2567,8,-103,1552,4,0,0,0,0,0,0,26,15.5,23.43786111
1003,124967,2018/2/1 0:00,2018/9/19 0:00,230,27,-2491,15857,36,-292,8929,24,78,-4010,6,0,0,0,8.846153846,5.5,11.6443856
1003,124968,2018/5/11 0:00,2019/5/20 0:00,374,8,-12,6695,8,0,0,0,0,0,0,0,0,0,53.42857143,51,48.28740487
1003,124969,2019/7/11 0:00,2019/8/12 0:00,32,3,-9,338,4,-8,138,3,0,0,0,0,0,0,16,16,4
1003,124970,2018/6/14 0:00,2019/9/2 0:00,445,5,-8,2550,5,-1,330,1,0,0,0,0,0,0,111.25,71,108.9297365
1003,124972,2018/3/24 0:00,2018/3/24 0:00,0,1,-4690,4690,1,0,0,0,0,0,0,0,0,0,\N,\N,\N
1003,124973,2018/3/24 0:00,2019/8/28 0:00,522,17,-3671,21688.5,20,-24,288,1,0,0,0,0,0,0,32.625,23,27.94609767
1003,124978,2018/4/23 0:00,2019/2/23 0:00,306,3,-105,1506,4,-105,1506,4,0,0,0,0,0,0,153,153,131
